时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409910340891 212.99088 32.015053 11.27306  88.16069 45.551876 104.57193 0 0
1409910340958 212.99031 32.01698 11.264193  88.16305 45.54893 104.57164 0 0
1409910340995 212.8303 31.895794 11.2660675  88.057945 45.577396 104.559685 0 0
1409910341035 212.82729 31.854805 11.235013  88.03619 45.57599 104.566536 0 0
1409910341041 212.98753 31.93797 11.252826  88.12099 45.557396 104.58557 0 0
1409910341059 213.05011 31.978685 11.269518  88.15737 45.550755 104.591354 0 0
1409910341119 213.12538 32.01486 11.259167  88.19582 45.53823 104.60195 0 0
1409910341126 213.30026 32.134766 11.275976  88.30402 45.512215 104.61724 0 0
1409910341148 213.37756 32.175312 11.272682  88.347725 45.49586 104.62677 0 0
1409910341164 213.42455 32.23517 11.306484  88.39287 45.493774 104.62487 0 0
1409910341207 213.50737 32.306484 11.287982  88.44474 45.471146 104.631226 0 0
1409910341210 213.50975 32.310665 11.282618  88.44879 45.470337 104.631325 0 0
1409910341240 213.53636 32.3263 11.304752  88.46464 45.471825 104.633934 0 0
1409910341243 213.57738 32.334595 11.579062  88.513565 45.538723 104.62815 0 0
1409910341277 213.63074 32.366577 11.599128  88.54745 45.53625 104.63346 0 0
1409910341295 213.70914 32.42841 11.62181  88.60154 45.52479 104.638336 0 0
1409910341310 213.76822 32.476994 11.508802  88.628265 45.49919 104.64497 0 0
1409910341328 213.78146 32.5007 11.52043  88.64926 45.49724 104.64211 0 0
1409910341367 213.8641 32.54509 11.516498  88.691956 45.483097 104.65214 0 0
1409910341369 213.22057 32.822643 11.454909  88.65267 45.475937 104.45737 0 0
1409910341415 213.31133 32.871548 11.458294  88.703255 45.464687 104.46792 0 0
1409910341441 213.42966 32.969803 11.406419  88.77772 45.426796 104.47771 0 0
1409910341445 213.51007 33.017994 11.479506  88.83148 45.43151 104.482994 0 0
1409910341463 213.6262 33.105938 11.5028515  88.907394 45.41565 104.491486 0 0
1409910341484 213.70981 33.1753 11.5154295  88.96755 45.40237 104.49578 0 0
1409910341542 213.78828 33.215378 11.52694  89.0125 45.396954 104.50422 0 0
1409910341546 213.73965 33.217552 11.478841  88.992226 45.385937 104.49523 0 0
1409910341566 213.30983 32.980522 11.406589  88.750824 45.433228 104.45003 0 0
1409910341672 212.80042 32.647305 11.323373  88.43566 45.497944 104.405754 0 0
1409910341702 211.95468 31.871836 11.068567  87.803345 45.6263 104.37375 0 0
1409910341719 212.04387 31.892956 11.098476  87.839195 45.627056 104.38841 0 0
1409910341732 212.0874 31.874374 11.124206  87.8451 45.629116 104.40091 0 0
1409910341804 212.07106 31.83297 11.100703  87.82184 45.634193 104.4056 0 0
1409910341822 212.06406 31.753138 11.128321  87.78194 45.652187 104.41854 0 0
1409910341860 212.1673 31.813164 11.141784  87.83745 45.631485 104.43112 0 0
1409910341868 212.18999 31.78914 11.113542  87.831665 45.6313 104.440025 0 0
1409910341884 212.19295 31.76625 11.118008  87.82339 45.636433 104.44544 0 0
1409910341964 212.14264 31.702839 11.103659  87.77499 45.64435 104.44737 0 0
1409910341969 212.13474 31.67651 11.088998  87.75803 45.649323 104.451355 0 0
1409910341987 212.25252 31.706303 11.119479  87.80854 45.6406 104.469925 0 0
1409910342021 212.3904 31.78974 11.17569  87.890755 45.63216 104.48182 0 0
1409910342071 212.5029 31.843801 11.190586  87.95355 45.62065 104.49521 0 0
1409910342124 212.72704 31.974205 11.213685  88.08004 45.59094 104.51854 0 0
1409910342179 212.89146 32.08979 11.256576  88.18699 45.57081 104.5319 0 0
1409910342195 212.9867 32.14457 11.254141  88.23991 45.55771 104.54096 0 0
1409910342206 213.07391 32.213463 11.269479  88.29632 45.541874 104.54875 0 0
1409910342292 213.14386 32.254154 11.262578  88.33479 45.531822 104.5562 0 0
1409910342305 213.4342 32.4313 11.468529  88.51395 45.50763 104.5794 0 0
1409910342350 213.5184 32.498074 11.4596615  88.56655 45.4912 104.58646 0 0
1409910342356 213.6455 32.579247 11.492461  88.64522 45.47591 104.59766 0 0
1409910342372 213.7524 32.654415 11.5187235  88.71615 45.46422 104.6051 0 0
1409910342390 213.79066 32.6965 11.526966  88.746605 45.45531 104.60664 0 0
1409910342451 213.90633 32.749207 11.558242  88.810234 45.44943 104.61833 0 0
1409910342457 214.11243 32.918476 11.59737  88.950714 45.417343 104.63232 0 0
1409910342545 214.2124 32.987904 11.602565  89.01187 45.40224 104.640884 0 0
1409910342575 214.53537 33.24182 11.648645  89.22862 45.351875 104.660965 0 0
1409910342592 214.65906 33.364986 11.667461  89.32096 45.3282 104.66456 0 0
1409910342609 214.32086 33.18599 11.601211  89.13694 45.36307 104.626175 0 0
1409910342667 213.76744 32.822918 11.505456  88.80001 45.43458 104.57737 0 0
1409910342680 212.79416 32.122982 11.326914  88.17327 45.564064 104.50328 0 0
1409910342712 212.63164 31.95987 11.353477  88.05026 45.60625 104.498024 0 0
1409910342746 212.55482 31.857643 11.246446  87.97109 45.61388 104.50341 0 0
1409910342765 212.59474 31.861889 11.255364  87.983154 45.611485 104.5124 0 0
1409910342779 212.68028 31.885912 11.285586  88.024284 45.610703 104.5244 0 0
1409910342849 212.64546 31.824467 11.292135  87.98386 45.623074 104.5288 0 0
1409910342852 212.53334 31.683828 11.27526  87.88193 45.65224 104.53031 0 0
